ma,Country,Infected Case,Death Case
1,Ha Noi,1.646.923,1.232
79,Ho Chi Minh City,629.018,19.985
31,Hai Phong,537.527,138
40,Nghe An,502.049,145
24,Bac Giang,391.44,92
26,Vinh Phuc,375.686,19
30,Hai Duong,372.391,117
22,Quang Ninh,356.404,150
27,Bac Ninh,353.869,136
19,Thai Nguyen,347.519,112
25,Phu Tho,331.52,97
74,Binh Duong,325.667,3.519
36,Nam Dinh,301.101,150
34,Thai Binh,296.789,23
33,Hung Yen,244.028,5
17,Hoa Binh,239.941,102
10,Lao Cai,188.846,38
38,Thanh Hoa,178.595,109
66,Dak Lak,172.439,201
20,Lang Son,160.752,85
15,Yen Bai,158.046,13
14,Son La,153.602,0
96,Ca Mau,147.734,357
8,Tuyen Quang,147.582,14
72,Tay Ninh,140.444,944
52,Binh Dinh,139.89,281
44,Quang Binh,129.648,74
2,Ha Giang,122.61,80
56,Khanh Hoa,122.036,364
70,Binh Phuoc,120.003,224
77,Ba Ria - Vung Tau,110.822,497
48,Da Nang,108.712,338
75,Dong Nai,107.518,1.903
37,Ninh Binh,104.8,93
86,Vinh Long,103.505,829
83,Ben Tre,99.799,490
4,Cao Bang,99.051,59
68,Lam Dong,98.238,141
35,Ha Nam,91.467,65
11,Dien Bien,90.757,23
45,Quang Tri,86.293,38
6,Bac Kan,77.048,19
92,Can Tho,76.925,958
12,Lai Chau,75.519,0
84,Tra Vinh,75.174,115
67,Dak Nong,73.427,47
64,Gia Lai,70.961,116
42,Ha Tinh,55.279,50
60,Binh Thuan,54.3,482
87,Dong Thap,51.614,1.007
51,Quang Ngai,50.513,127
80,Long An,50.297,1.088
49,Quang Nam,49.556,150
46,Thua Thien Hue,48.186,173
95,Bac Lieu,46.949,470
54,Phu Yen,44.481,137
91,Kien Giang,43.659,1.027
89,An Giang,43.297,1.325
82,Tien Giang,39.902,1.29
94,Soc Trang,34.457,634
62,Kon Tum,26.342,1
93,Hau Giang,17.9,231
58,Ninh Thuan,9.001,60
